"RowID","Zipcode","Population","Median Age","Household Income","Per Capita Income","Poverty Count","Poverty Rate","State","Latitude","Longitude","GeoInfo","StandardZip","StandardZip4","ZipClass","CountySSA"
1,"90001",58738.00,28.70,35660.00,11882.00,18654.00,31.75,"CA",33975749,118250489,"Zip-Distributive","90001",,"Urban","05200"
2,"90002",52856.00,27.70,34000.00,11807.00,17795.00,33.66,"CA",33950666,118245122,"Zip-Distributive","90002",,"Urban","05200"
3,"90003",70490.00,28.20,34397.00,11305.00,23212.00,32.92,"CA",33962912,118273894,"Zip-Distributive","90003",,"Urban","05200"
4,"90004",62733.00,35.10,46581.00,30590.00,11985.00,19.10,"CA",34076286,118302088,"Zip-Distributive","90004",,"Urban","05200"
5,"90005",39562.00,35.40,32461.00,21566.00,11300.00,28.56,"CA",34058448,118304185,"Zip-Distributive","90005",,"Urban","05200"
6,"90006",62329.00,33.20,33790.00,15314.00,17720.00,28.42,"CA",34050890,118292182,"Zip-Distributive","90006",,"Urban","05200"
7,"90007",41221.00,24.60,23070.00,13013.00,16513.00,40.05,"CA",34029360,118285253,"Zip-Distributive","90007",,"Urban","05200"
8,"90008",32359.00,43.00,36641.00,28926.00,7207.00,22.27,"CA",34010375,118342500,"Zip-Distributive","90008",,"Urban","05200"
9,"90010",3759.00,38.80,47115.00,36598.00,535.00,14.23,"CA",34061718,118302757,"Zip-Point","90010",,"Urban","05200"
10,"90011",108051.00,28.00,33824.00,10887.00,38839.00,35.94,"CA",34008351,118259410,"Zip-Distributive","90011",,"Urban","05200"
11,"90012",33783.00,35.50,38786.00,24502.00,7531.00,22.29,"CA",34056583,118244294,"Zip-Distributive","90012",,"Urban","05200"
12,"90013",11957.00,43.40,22808.00,37228.00,5318.00,44.47,"CA",34046011,118244965,"Zip-Distributive","90013",,"Urban","05200"
13,"90014",7408.00,40.50,37619.00,46026.00,2560.00,34.55,"CA",34045078,118253514,"Zip-Distributive","90014",,"Urban","05200"
14,"90015",20187.00,32.40,32979.00,31423.00,7413.00,36.72,"CA",34039046,118264653,"Zip-Distributive","90015",,"Urban","05200"
15,"90016",46303.00,37.10,43443.00,23410.00,10235.00,22.10,"CA",34029380,118351644,"Zip-Distributive","90016",,"Urban","05200"
16,"90017",26390.00,30.80,28638.00,21874.00,11123.00,42.14,"CA",34052097,118262764,"Zip-Distributive","90017",,"Urban","05200"
17,"90018",52287.00,34.90,37341.00,18577.00,12899.00,24.66,"CA",34030816,118316381,"Zip-Distributive","90018",,"Urban","05200"
18,"90019",67415.00,37.80,50671.00,30842.00,12434.00,18.44,"CA",34048639,118337745,"Zip-Distributive","90019",,"Urban","05200"
19,"90020",39191.00,34.50,42407.00,28351.00,7123.00,18.17,"CA",34066510,118301581,"Zip-Distributive","90020",,"Urban","05200"
20,"90021",3158.00,42.90,12864.00,30598.00,1530.00,48.44,"CA",34030230,118242015,"Zip-Distributive","90021",,"Suburban","05200"
21,"90022",67446.00,32.10,41276.00,14895.00,15366.00,22.78,"CA",34022481,118155853,"Zip-Distributive","90022",,"Urban","05200"
22,"90023",47229.00,31.30,40225.00,13689.00,12316.00,26.07,"CA",34020865,118202177,"Zip-Distributive","90023",,"Urban","05200"
23,"90024",49718.00,22.70,59418.00,42697.00,12715.00,25.57,"CA",34061969,118441544,"Zip-Distributive","90024",,"Urban","05200"
24,"90025",47453.00,34.10,78713.00,50487.00,5798.00,12.21,"CA",34046067,118450061,"Zip-Distributive","90025",,"Urban","05200"
25,"90026",68609.00,34.60,54342.00,32107.00,14591.00,21.26,"CA",34077414,118263561,"Zip-Distributive","90026",,"Urban","05200"
26,"90027",45616.00,38.00,58344.00,46196.00,6880.00,15.08,"CA",34104512,118291800,"Zip-Distributive","90027",,"Urban","05200"
27,"90028",31054.00,34.40,40068.00,32587.00,7448.00,23.98,"CA",34100709,118328134,"Zip-Distributive","90028",,"Urban","05200"
28,"90029",38843.00,35.90,37379.00,22103.00,9359.00,24.09,"CA",34090837,118294428,"Zip-Distributive","90029",,"Urban","05200"
29,"90031",39103.00,35.60,41126.00,18906.00,9621.00,24.60,"CA",34076514,118212978,"Zip-Distributive","90031",,"Urban","05200"
30,"90032",47766.00,33.60,47370.00,19476.00,10031.00,21.00,"CA",34082649,118176895,"Zip-Distributive","90032",,"Urban","05200"
31,"90033",48841.00,30.00,31683.00,13332.00,16777.00,34.35,"CA",34051573,118211837,"Zip-Distributive","90033",,"Urban","05200"
32,"90034",56070.00,33.60,65572.00,42477.00,7379.00,13.16,"CA",34028146,118402490,"Zip-Distributive","90034",,"Urban","05200"
33,"90035",29920.00,36.10,76677.00,51296.00,3383.00,11.30,"CA",34054810,118384033,"Zip-Distributive","90035",,"Urban","05200"
34,"90036",38116.00,34.40,74279.00,53842.00,4485.00,11.76,"CA",34067678,118349906,"Zip-Distributive","90036",,"Urban","05200"
35,"90037",63238.00,30.10,31045.00,12433.00,23361.00,36.94,"CA",34004595,118283613,"Zip-Distributive","90037",,"Urban","05200"
36,"90038",27957.00,33.40,36996.00,24758.00,7956.00,28.45,"CA",34088005,118324903,"Zip-Distributive","90038",,"Urban","05200"
37,"90039",29092.00,38.50,81394.00,45616.00,2941.00,10.10,"CA",34112486,118262020,"Zip-Distributive","90039",,"Urban","05200"
38,"90040",12925.00,34.60,43585.00,16510.00,2088.00,16.15,"CA",33996428,118148217,"Zip-Distributive","90040",,"Suburban","05200"
39,"90041",28651.00,39.30,73250.00,35817.00,2902.00,10.12,"CA",34136142,118205292,"Zip-Distributive","90041",,"Urban","05200"
40,"90042",63788.00,35.00,55596.00,25401.00,12358.00,19.37,"CA",34112406,118193203,"Zip-Distributive","90042",,"Urban","05200"
41,"90043",44571.00,39.40,41812.00,27437.00,9400.00,21.08,"CA",33986306,118334661,"Zip-Distributive","90043",,"Urban","05200"
42,"90044",94680.00,30.80,32278.00,14430.00,32596.00,34.42,"CA",33954579,118293689,"Zip-Distributive","90044",,"Urban","05200"
43,"90045",41420.00,35.00,90399.00,48661.00,3938.00,9.50,"CA",33959934,118393054,"Zip-Distributive","90045",,"Urban","05200"
44,"90046",51615.00,38.80,65990.00,63973.00,6847.00,13.26,"CA",34097159,118359244,"Zip-Distributive","90046",,"Urban","05200"
45,"90047",48491.00,39.60,42551.00,21712.00,9660.00,19.92,"CA",33958598,118308988,"Zip-Distributive","90047",,"Urban","05200"
46,"90048",22860.00,36.70,85396.00,70123.00,1942.00,8.49,"CA",34072197,118374553,"Zip-Distributive","90048",,"Urban","05200"
47,"90049",36362.00,40.60,121671.00,99599.00,2659.00,7.31,"CA",34064021,118471427,"Zip-Distributive","90049",,"Suburban","05200"
48,"90056",8014.00,50.30,84438.00,54647.00,558.00,6.96,"CA",33985503,118367426,"Zip-Distributive","90056",,"Urban","05200"
49,"90057",49389.00,34.10,31337.00,15492.00,16961.00,34.34,"CA",34062049,118275899,"Zip-Distributive","90057",,"Urban","05200"
50,"90058",3189.00,23.50,16425.00,9429.00,1774.00,55.62,"CA",34002469,118213089,"Zip-Distributive","90058",,"Rural","05200"
51,"90059",47351.00,26.30,37653.00,12208.00,16204.00,34.22,"CA",33927919,118247402,"Zip-Distributive","90059",,"Urban","05200"
52,"90061",28003.00,29.90,37126.00,14215.00,8634.00,30.83,"CA",33922876,118275639,"Zip-Distributive","90061",,"Urban","05200"
53,"90062",33627.00,34.60,40018.00,17269.00,7776.00,23.12,"CA",34006103,118308663,"Zip-Distributive","90062",,"Urban","05200"
54,"90063",53556.00,31.80,44121.00,16107.00,11991.00,22.38,"CA",34046102,118186315,"Zip-Distributive","90063",,"Urban","05200"
55,"90064",26007.00,38.50,92194.00,61983.00,2354.00,9.05,"CA",34033613,118434133,"Zip-Distributive","90064",,"Urban","05200"
56,"90065",48420.00,36.50,58405.00,28540.00,8524.00,17.60,"CA",34108519,118228467,"Zip-Distributive","90065",,"Urban","05200"
57,"90066",59747.00,37.10,75209.00,45168.00,6335.00,10.60,"CA",34002193,118429124,"Zip-Distributive","90066",,"Urban","05200"
58,"90067",2235.00,65.40,123889.00,148638.00,108.00,4.83,"CA",34058919,118416052,"Zip-Distributive","90067",,"Urban","05200"
59,"90068",21726.00,40.50,82718.00,81674.00,2238.00,10.30,"CA",34111057,118332594,"Zip-Distributive","90068",,"Suburban","05200"
60,"90069",20401.00,41.90,86403.00,82735.00,1986.00,9.73,"CA",34089240,118382874,"Zip-Distributive","90069",,"Urban","05200"
61,"90071",0.00,-666666666.00,-666666666.00,-666666666.00,0.00,,"CA",34052019,118255634,"Zip-Distributive","90071",,"Rural","05200"
62,"90073",944.00,55.90,-666666666.00,11695.00,461.00,48.83,"CA",34059173,118451490,"Zip-Distributive","90073",,"Urban","05200"
63,"90077",8936.00,49.20,184722.00,110727.00,372.00,4.16,"CA",34103569,118454663,"Zip-Distributive","90077",,"Suburban","05200"
64,"90079",0.00,-666666666.00,-666666666.00,-666666666.00,0.00,,"CA",34041235,118254601,"Zip-Point","90079",,"Urban","05200"
65,"90089",3846.00,19.10,-666666666.00,6764.00,15.00,0.39,"CA",34024035,118285400,"Zip-Distributive","90089",,"Urban","05200"
66,"90090",0.00,-666666666.00,-666666666.00,-666666666.00,0.00,,"CA",34072565,118244506,"Zip-Point","90090",,"Urban","05200"
67,"90094",8568.00,35.00,136250.00,82803.00,897.00,10.46,"CA",33972861,118423270,"Zip-Distributive","90094",,"Urban","05200"
68,"90095",0.00,-666666666.00,-666666666.00,-666666666.00,0.00,,"CA",34064829,118444366,"Zip-Distributive","90095",,"Rural","05200"
69,"90201",102878.00,28.90,39498.00,12721.00,28715.00,27.91,"CA",33968810,118174076,"Zip-Distributive","90201",,"Urban","05200"
70,"90210",20016.00,47.10,149732.00,111084.00,1533.00,7.65,"CA",34086333,118409448,"Zip-Distributive","90210",,"Suburban","05200"
71,"90211",8019.00,41.90,71402.00,61991.00,841.00,10.48,"CA",34066240,118380508,"Zip-Distributive","90211",,"Urban","05200"
72,"90212",13207.00,40.60,103032.00,73331.00,1236.00,9.35,"CA",34063506,118399073,"Zip-Distributive","90212",,"Urban","05200"
73,"90220",51713.00,32.40,54014.00,17800.00,10037.00,19.40,"CA",33886562,118236964,"Zip-Distributive","90220",,"Urban","05200"
74,"90221",54259.00,29.60,46008.00,14049.00,12781.00,23.55,"CA",33890324,118206189,"Zip-Distributive","90221",,"Urban","05200"
75,"90222",32585.00,27.90,40719.00,13813.00,8570.00,26.30,"CA",33911126,118236544,"Zip-Distributive","90222",,"Urban","05200"
76,"90230",32657.00,39.40,79242.00,42370.00,3646.00,11.16,"CA",33994277,118392573,"Zip-Distributive","90230",,"Urban","05200"
77,"90232",14865.00,40.70,82254.00,50533.00,1399.00,9.41,"CA",34019607,118395663,"Zip-Distributive","90232",,"Urban","05200"
78,"90240",26339.00,35.60,81205.00,30648.00,1652.00,6.27,"CA",33958049,118118586,"Zip-Distributive","90240",,"Urban","05200"
79,"90241",44097.00,35.60,64222.00,25576.00,4843.00,10.98,"CA",33942459,118132481,"Zip-Distributive","90241",,"Urban","05200"
